fighter_id,fighter_f_name,fighter_l_name,fighter_nickname,fighter_height_cm,fighter_weight_lbs,fighter_reach_cm,fighter_stance,fighter_dob,fighter_w,fighter_l,fighter_d,fighter_nc_dq,fighter_url
468,Courtney,Buck,NULL,177.8,135,NULL,Orthodox,1982-03-19,12,11,0,NULL,http://ufcstats.com/fighter-details/3feed7d02711d8b7
469,Joaquin,Buckley,"New Mansa",177.8,170,193.04,Southpaw,1994-04-27,16,6,0,NULL,http://ufcstats.com/fighter-details/b9437600497350f3
470,Martin,Buday,Badys,193.04,265,195.58,Orthodox,1991-11-11,12,1,0,NULL,http://ufcstats.com/fighter-details/8eb046f83e82bf26
471,Julia,Budd,NULL,170.18,145,170.18,NULL,1983-07-04,10,2,0,NULL,http://ufcstats.com/fighter-details/dcdc4503b9d49977
472,Mike,Budnik,NULL,175.26,145,172.72,Orthodox,1974-08-08,13,4,0,NULL,http://ufcstats.com/fighter-details/b98209144b63ae26
473,Francisco,Bueno,NULL,175.26,225,NULL,Orthodox,NULL,5,2,0,NULL,http://ufcstats.com/fighter-details/a72d260b436924c4
474,Paul,Buentello,"The Headhunter",187.96,245,195.58,Orthodox,1974-01-16,35,17,0,NULL,http://ufcstats.com/fighter-details/f0abbb6f3444dae7
475,Modestas,Bukauskas,"The Baltic Gladiator",190.5,205,198.12,Switch,1994-02-10,15,5,0,NULL,http://ufcstats.com/fighter-details/476fe566d2df676e
476,Lee,"Kwan Bum",NULL,187.96,286,NULL,Orthodox,NULL,0,1,0,NULL,http://ufcstats.com/fighter-details/c0342805a1948cbb
477,Josh,Bumgarner,NULL,185.42,170,NULL,NULL,NULL,6,4,0,NULL,http://ufcstats.com/fighter-details/9900ab86a4c458bd
478,Shawn,Bunch,"Bunch the Great",165.1,135,NULL,NULL,1983-03-19,7,3,0,NULL,http://ufcstats.com/fighter-details/6e9af164ab91a229
479,Felipe,Bunes,Felipinho,170.18,125,175.26,Orthodox,1989-10-29,13,6,0,NULL,http://ufcstats.com/fighter-details/53c10176e3bc7416
480,Shane,Burgos,Hurricane,180.34,145,190.5,Orthodox,1991-03-19,15,3,0,NULL,http://ufcstats.com/fighter-details/98d961097baaf308
481,Joshua,Burkman,"The People's Warrior",177.8,170,182.88,Orthodox,1980-04-10,28,16,0,1,http://ufcstats.com/fighter-details/6da99156486ed6c2
482,Justin,Burlinson,NULL,185.42,170,187.96,Switch,1997-05-19,6,1,0,NULL,http://ufcstats.com/fighter-details/dadd80ef954e54ed
483,Mads,Burnell,NULL,172.72,145,175.26,Orthodox,1994-03-06,9,3,0,NULL,http://ufcstats.com/fighter-details/69f01b25dfabaf6b
484,Mikey,Burnett,"The Eastside Assassin",167.64,170,NULL,Orthodox,1974-04-12,5,2,0,NULL,http://ufcstats.com/fighter-details/4c805f5f58a75df0
485,Kevin,Burns,"The Fire",177.8,170,187.96,Orthodox,1980-03-03,12,7,0,NULL,http://ufcstats.com/fighter-details/a6d8bfe9e0c8153b
486,Gilbert,Burns,Durinho,177.8,170,180.34,Orthodox,1986-07-20,22,6,0,NULL,http://ufcstats.com/fighter-details/23024fdfc966410a
487,Josh,Burns,"The Hammer",185.42,244,NULL,NULL,1978-05-15,8,10,0,NULL,http://ufcstats.com/fighter-details/1e092415a7eeaf65
488,Herbert,Burns,"The Blaze",175.26,145,185.42,Orthodox,1988-02-02,11,4,0,NULL,http://ufcstats.com/fighter-details/4f140403000158b5
489,Derrick,Burnsed,NULL,NULL,155,NULL,NULL,NULL,1,0,3,NULL,http://ufcstats.com/fighter-details/2213330f082f82d5
490,Nah-Shon,Burrell,"The Rock n Rolla",180.34,170,NULL,Orthodox,1990-02-05,15,7,0,1,http://ufcstats.com/fighter-details/2c64c035485906aa
491,Martin,Buschkamp,NULL,175.26,145,NULL,Orthodox,1991-01-06,9,0,0,1,http://ufcstats.com/fighter-details/8fc30d8cebb17116
492,George,Bush,NULL,185.42,205,NULL,NULL,NULL,5,2,0,NULL,http://ufcstats.com/fighter-details/f0c779dc2ca3816c
